source,target,letters,source_gender,target_gender
"Warren, James","Adams, John",86,M,M
"Lee, Henry Jr.","Washington, George",85,M,M
"Adams, Abigail Smith","Adams, Thomas Boylston",85,F,M
"Hamilton, Alexander","Wolcott, Oliver Jr.",85,M,M
"Cooper, Thomas","Jefferson, Thomas",85,M,M
"Adams, Louisa Catherine Johnson","Adams, Charles Francis",85,F,M
"Jefferson, Thomas","Harrison, Benjamin",84,M,M
"Board of War,","Washington, George",84,NA,M
"Brillon de Jouy, Anne-Louise Boivin d’Hardancourt","Franklin, Benjamin",84,F,M
"Parker, James","Franklin, Benjamin",83,M,M
"Lee, Henry","Washington, George",83,M,M
"Lee, Henry","Madison, James",83,M,M
"Adams, Louisa Catherine Johnson","Adams, George Washington",83,F,M
"Randolph, Edmund","Hamilton, Alexander",82,M,M
"Adams, Thomas Boylston","Shaw, William Smith",82,M,M
"Jefferson, Thomas","Eppes, Francis",81,M,M
"Scott, Charles","Washington, George",81,M,M
"Adams, John","Jenings, Edmund",81,M,M
"Washington, George","La Luzerne, Anne-César chevalier de",81,M,M
"King, Rufus","Hamilton, Alexander",81,M,M
"Whipple, Joseph","Hamilton, Alexander",81,M,M
"Bacon, Edmund","Jefferson, Thomas",81,M,M
"Eppes, John Wayles","Jefferson, Thomas",80,M,M
"Lear, Tobias","Madison, James",80,M,M
"Jefferson, Thomas","Peale, Charles Willson",80,M,M
"Madison, James","Trist, Nicholas P.",80,M,M
"Lee, Arthur","Franklin, Benjamin",79,M,M
"Washington, George","Clinton, James",79,M,M
"Washington, George","Maxwell, William",79,M,M
"Digges, Thomas","Franklin, Benjamin",79,M,M
"Mazzei, Philip","Jefferson, Thomas",79,M,M
"Madison, James","Washington, George",79,M,M
"Barclay, Thomas","Jefferson, Thomas",79,M,M
"Granger, Gideon","Jefferson, Thomas",79,M,M
"Jefferson, Thomas","Peyton, Craven",79,M,M
"Madison, James","Congress,",79,M,M
"Adams, John Quincy","Adams, George Washington",79,M,M
"Washington, George","Washington, Lund",78,M,M
"Mifflin, Thomas","Washington, George",78,M,M
"Franklin, Benjamin","Adams, John",78,M,M
"Morris, Robert","Hamilton, Alexander",78,M,M
"Adams, John","Tudor, William Sr.",78,M,M
"LeRoy, Jean Baptiste","Franklin, Benjamin",77,M,M
"Adams, Abigail Smith","Peabody, Elizabeth Smith Shaw",77,F,F
"Hamilton, Alexander","Williams, Otho H.",77,M,M
"Adams, Abigail Smith","Shaw, William Smith",77,F,M
"St. Clair, Arthur","Washington, George",76,M,M
"Adams, John","Gerry, Elbridge",76,M,M
"Dana, Francis","Adams, John",76,M,M
"Hamilton, Alexander","Coxe, Tench",76,M,M
"Anonymous,","Jefferson, Thomas",76,M,M
"Yznardy, Josef","Madison, James",76,M,M
"Adams, Thomas Boylston","Adams, Abigail Smith",75,M,F
Unknown,"Madison, James",75,M,M
"Washington, George","Dinwiddie, Robert",74,M,M
"Bache, Richard","Franklin, Benjamin",74,M,M
"Williams, Otho H.","Hamilton, Alexander",74,M,M
"Harrison, Benjamin","Virginia Delegates,",74,M,M
"Hamilton, Alexander","Olney, Jeremiah",74,M,M
"Jefferson, Thomas","Jefferson, Thomas",73,M,M
