source,target,letters,source_gender,target_gender
"Greene, William","Washington, George",24,M,M
"Estaing, Charles-Hector Théodat comte d’","Washington, George",24,M,M
"Jefferson, Thomas","Rittenhouse, David",24,M,M
"Washington, George","Washington, William",24,M,M
"Jefferson, Thomas","Clark, George Rogers",24,M,M
"Washington, George","Mercer, John Francis",24,M,M
"Church, William Singleton","Adams, John",24,M,M
"Maxwell, James","Jefferson, Thomas",24,M,M
"Muter, George","Muter, George",24,M,M
"Greene, Nathanael","Jefferson, Thomas",24,M,M
"Taylor, John","Jefferson, Thomas",24,M,M
"Ross, David","Jefferson, Thomas",24,M,M
"Shaffer, John","Franklin, Benjamin",24,M,M
"Chaloner, John","Hamilton, Alexander",24,M,M
"Jefferson, Thomas","Bondfield, John",24,M,M
"Cutting, John Brown","Adams, John",24,M,M
"Spaight, Richard Dobbs","Washington, George",24,M,M
"Lewis, Robert","Washington, George",24,M,M
"Delamotte,","Jefferson, Thomas",24,M,M
"Smith, Thomas","Hamilton, Alexander",24,M,M
"Johnson, Joshua","Jefferson, Thomas",24,M,M
"Jefferson, Thomas","Hylton, Daniel L.",24,M,M
"Madison, James","Madison, Dolley Payne Todd",24,M,F
"Hamilton, Alexander","Read, James",24,M,M
"Law, Thomas","Jefferson, Thomas",24,M,M
"Murray, William Vans","Madison, James",24,M,M
"Mason, John Thomson","Jefferson, Thomas",24,M,M
"Jarvis, William","Jefferson, Thomas",24,M,M
"Williams, Robert","Madison, James",24,M,M
"Barlow, Joel","Madison, James",24,M,M
"Jefferson, Thomas","Harrison, Samuel Jordan",24,M,M
"Carey, Mathew","Adams, John",24,M,M
"Adams, John","Johnson, Alexander Bryan",24,M,M
"Ticknor, George","Jefferson, Thomas",24,M,M
"Duponceau, Peter Stephen","Jefferson, Thomas",24,M,M
"Laval, John","Jefferson, Thomas",24,M,M
"Madison, James","Van Buren, Martin",24,M,M
"Thompson, Jonathan","Jefferson, Thomas",24,M,M
"Logan, James","Franklin, Benjamin",23,M,M
"Washington, George","Fitzhugh, William",23,M,M
"Bouquet, Henry","Washington, George",23,M,M
"Jefferson, Thomas","Cabell, William H.",23,M,M
"Adams, Samuel","Adams, John",23,M,M
"Cooper, Samuel","Adams, John",23,M,M
"Lincoln, Benjamin","Adams, John",23,M,M
"Thomson, Charles","Washington, George",23,M,M
"Chaumont,","Franklin, Benjamin",23,M,M
"Vergennes, Charles Gravier comte de","Lee, Arthur",23,M,M
"Washington, George","Van Schaick, Goose",23,M,M
"Jones, John Paul","American Commissioners,",23,M,M
"Jones, John Paul","Lee, Arthur",23,M,M
"Jones, Joseph","Washington, George",23,M,M
"Washington, George","Potter, James",23,M,M
"Moylan, James","American Commissioners,",23,M,M
"Moylan, James","Lee, Arthur",23,M,M
"Hamilton, Alexander","Greene, Nathanael",23,M,M
"Washington, George","Stark, John",23,M,M
"Wadsworth, Jeremiah","Hamilton, Alexander",23,M,M
"Newenham, Sir Edward","Franklin, Benjamin",23,M,M
"Jefferson, Thomas","Board of War,",23,M,NA
"Nesbitt, Jonathan","Franklin, Benjamin",23,M,M
"Campbell, Arthur","Jefferson, Thomas",23,M,M
"Carr, Peter","Jefferson, Thomas",23,M,M
"Hanson, Samuel (of Samuel)","Washington, George",23,M,M
"Hollis, Thomas Brand","Adams, John",23,M,M
"Rutledge, John Jr.","Jefferson, Thomas",23,M,M
"Mason, John","Jefferson, Thomas",23,M,M
"Jefferson, Thomas","Willink, Van Staphorst & Hubbard",23,M,M
"Hamilton, Alexander","Whipple, Joseph",23,M,M
"Cranch, William","Adams, John",23,M,M
"Macon, Nathaniel","Jefferson, Thomas",23,M,M
"Bentley, William C.","Hamilton, Alexander",23,M,M
"Hamilton, Alexander","Miller, James",23,M,M
"Madison, James","Cathcart, James Leander",23,M,M
"Taylor, Robert","Madison, James",23,M,M
"Madison, James","Harrison, Richard",23,M,M
"Leonard, John","Madison, James",23,M,M
"Madison, James","Graham, John",23,M,M
"Bowdoin, James","Madison, James",23,M,M
"Rhea, John","Jefferson, Thomas",23,M,M
"McMahon, Bernard","Jefferson, Thomas",23,M,M
"Adams, Abigail Smith","De Windt, Caroline Amelia Smith",23,F,F
"Jefferson, Thomas","Thweatt, Archibald",23,M,M
"Johnson, Chapman","Jefferson, Thomas",23,M,M
"Meigs, Josiah","Madison, James",23,M,M
"Mayo, Frederick A.","Jefferson, Thomas",23,M,M
"Washington, George","Washington, Samuel",22,M,M
"Craik, James","Washington, George",22,M,M
"Stewart, Walter","Washington, George",22,M,M
"Washington, George","Mercer, James",22,M,M
"Massachusetts Council,","Washington, George",22,M,M
"Pendleton, Edmund","Jefferson, Thomas",22,M,M
"Washington, George","Baylor, George",22,M,M
"Washington, George","Weare, Meshech",22,M,M
"Pennsylvania Council of Safety,","Washington, George",22,NA,M
"Washington, George","Weedon, George",22,M,M
"Bingham, William","Franklin, Benjamin",22,M,M
"Committee for Foreign Affairs,","American Commissioners,",22,M,M
"Committee for Foreign Affairs,","Lee, Arthur",22,M,M
"Hamilton, Alexander","Morris, Gouverneur",22,M,M
"Ogden, Matthias","Washington, George",22,M,M
"Laurens, Henry","Franklin, Benjamin",22,M,M
"Adams, John","Lee, Arthur",22,M,M
"Washington, George","Beatty, John",22,M,M
"Pettit, Charles","Washington, George",22,M,M
"Mitchell, John","Washington, George",22,M,M
"Hamilton, Alexander","Lee, Henry",22,M,M
"Jefferson, Thomas","Lee, Henry",22,M,M
"Jefferson, Thomas","Weedon, George",22,M,M
"Jefferson, Thomas","Newton, Thomas",22,M,M
"McKean, Thomas","Jefferson, Thomas",22,M,M
"Jones, William","Jefferson, Thomas",22,M,M
"Jefferson, Thomas","Hopkinson, Francis",22,M,M
"Jefferson, Thomas","Stockdale, John",22,M,M
"Washington, William Augustine","Washington, George",22,M,M
"Madison, James","Madison, Ambrose",22,M,M
"Stuart, Archibald","Jefferson, Thomas",22,M,M
"Washington, George","Peter, Thomas",22,M,M
"White, Alexander","Madison, James",22,M,M
"Sedgwick, Theodore","Hamilton, Alexander",22,M,M
"Bourne, Sylvanus","Jefferson, Thomas",22,M,M
"Jefferson, Thomas","Barlow, Joel",22,M,M
"Lyle, James","Jefferson, Thomas",22,M,M
"Burr, Aaron","Jefferson, Thomas",22,M,M
"Hamilton, Alexander","Hoops, Adam Jr.",22,M,M
"Cathalan, Stephen","Madison, James",22,M,M
"Lemaire, Etienne","Jefferson, Thomas",22,M,M
"Cathalan, Stephen Jr.","Madison, James",22,M,M
"Auldjo, Thomas","Madison, James",22,M,M
"Jackson, John George","Madison, James",22,M,M
"Hening, William Waller","Jefferson, Thomas",22,M,M
"Patterson, Robert","Madison, James",22,M,M
"Tatham, William","Madison, James",22,M,M
"Rush, Richard","Jefferson, Thomas",22,M,M
"Madison, James","Dunglison, Robley",22,M,M
"Cocke, John Hartwell","Madison, James",22,M,M
Unknown,"Franklin, Benjamin",21,M,M
"Washington, George","Mercer, Hugh",21,M,M
"Valentine, Joseph","Washington, George",21,M,M
"Washington, George","Bassett, Burwell",21,M,M
"Todd, Anthony","Franklin, Benjamin",21,M,M
"Hopkinson, Francis","Franklin, Benjamin",21,M,M
"Cushing, Thomas","Franklin, Benjamin",21,M,M
"Hutton, James","Franklin, Benjamin",21,M,M
"Madison, James","Bradford, William",21,M,M
"Newton, Thomas Jr.","Washington, George",21,M,M
"Washington, George","Newton, Thomas Jr.",21,M,M
"Washington, George","Massachusetts General Court,",21,M,M
"McIntosh, Lachlan","Washington, George",21,M,M
"Anonymous,","Washington, George",21,M,M
"Bowdoin, James","Washington, George",21,M,M
"Jefferson, Thomas","Pendleton, Edmund",21,M,M
"Sewall, David","Adams, John",21,M,M
"Dumas, Charles-Guillaume-Frédéric","Deane, Silas",21,M,M
"Fitzgerald, John","Washington, George",21,M,M
"Harvie, John","Jefferson, Thomas",21,M,M
"Washington, George","Nelson, Thomas Jr.",21,M,M
"Lee, Richard Henry","Adams, John",21,M,M
"Measam, George","Washington, George",21,M,M
"L’Enfant, Pierre Charles","Washington, George",21,M,M
"Williams, Otho Holland","Washington, George",21,M,M
"Washington, George","Mathews, John",21,M,M
"Pinckney, Charles Cotesworth","Washington, George",21,M,M
"Harrison, Benjamin","Jefferson, Thomas",21,M,M
"Chastellux, François-Jean de Beauvoir marquis de","Washington, George",21,M,M
"Washington, George","Chastellux, François-Jean de Beauvoir marquis de",21,M,M
"Jefferson, Thomas","Ross, David",21,M,M
"Hylton, Daniel L.","Jefferson, Thomas",21,M,M
"Hamilton, Alexander","Church, John B.",21,M,M
"Livingston, Robert R.","Adams, John",21,M,M
"Adams, John","La Lande & Fynje, de (business)",21,M,M
"Adams, Abigail Smith","Greenleaf, Lucy Cranch",21,F,F
"Nicholas, George","Madison, James",21,M,M
"Powel, Samuel","Washington, George",21,M,M
"Washington, George","Powel, Samuel",21,M,M
"Randolph, Edmund","Virginia Delegates,",21,M,M
"Jefferson, Thomas","Cutting, John Brown",21,M,M
"Hamilton, Alexander","Sedgwick, Theodore",21,M,M
"Jefferson, Thomas","Van Staphorst & Hubbard,",21,M,M
"Jordan, Meletiah","Hamilton, Alexander",21,M,M
"Washington, Harriot","Washington, George",21,M,M
"Jefferson, Thomas","Viar, José (Joseph) Ignacio de",21,M,M
"Murray, William Vans","Adams, John",21,M,M
"Pickering, Timothy","Dandridge, Bartholomew Jr.",21,M,M
"Hamilton, Alexander","Tousard, Lewis",21,M,M
"Dunbar, William","Jefferson, Thomas",21,M,M
"Tazewell, Littleton W.","Jefferson, Thomas",21,M,M
"Jefferson, Thomas","Waterhouse, Benjamin",21,M,M
"Logan, George","Jefferson, Thomas",21,M,M
"Jefferson, Thomas","Lewis, Meriwether",21,M,M
"Anderson, Joseph","Jefferson, Thomas",21,M,M
"Tufts, Turell","Madison, James",21,M,M
"Söderström, Richard","Madison, James",21,M,M
"Worthington, Thomas","Jefferson, Thomas",21,M,M
"Brent, Daniel","Jefferson, Thomas",21,M,M
"Mitchill, Samuel Latham","Madison, James",21,M,M
"Jefferson, Thomas","Clay, Charles",21,M,M
"Jefferson, Thomas","Warden, David Bailie",21,M,M
"Coles, Isaac A.","Jefferson, Thomas",21,M,M
"Harrison, Samuel Jordan","Jefferson, Thomas",21,M,M
"Coffee, William John","Jefferson, Thomas",21,M,M
"Carter, Charles","Washington, George",20,M,M
"Washington, George","Robinson, John",20,M,M
"Washington, George","Wood, James",20,M,M
"Washington, George","Capel & Osgood Hanbury,",20,M,M
"Adams, John","Boston Gazette (newspaper),",20,M,M
"Sarsfield, Guy-Claude comte de","Franklin, Benjamin",20,M,M
"Harrison, Benjamin","Washington, George",20,M,M
"Lovell, James","Washington, George",20,M,M
"Tupper, Benjamin","Washington, George",20,M,M
"Fleming, William","Jefferson, Thomas",20,M,M
"Washington, George","Wharton, Thomas Jr.",20,M,M
"Baylor, George","Washington, George",20,M,M
"Washington, George","Webb, Samuel Blachley",20,M,M
"Washington, George","Poor, Enoch",20,M,M
"Hamilton, Alexander","Laurens, John",20,M,M
"Washington, George","Phillips, William",20,M,M
"Adams, John Quincy","Adams, Charles",20,M,M
"Dumas, Charles William Frederic","Franklin, Benjamin",20,M,M
"Dumas, Charles William Frederic","Lee, Arthur",20,M,M
"Washington, George","Measam, George",20,M,M
"Franklin, Benjamin","Lafayette, Marie-Joseph-Paul-Yves-Roch-Gilbert du Motier marquis de",20,M,M
"Butler, Richard","Washington, George",20,M,M
"Hamilton, Alexander","Duane, James",20,M,M
"Bowen, Jabez","Washington, George",20,M,M
"Beckley, John","Madison, James",20,M,M
"Jefferson, Thomas","Lee, Thomas Sim",20,M,M
"Washington, George","Willett, Marinus",20,M,M
"Rendón, Francisco","Washington, George",20,M,M
"Skinner, Abraham","Washington, George",20,M,M
"Stevens, Edward","Jefferson, Thomas",20,M,M
"Jefferson, Thomas","Virginia Delegates,",20,M,M
"Tyler, John","Jefferson, Thomas",20,M,M
"Jefferson, Thomas","Eppes, Elizabeth Wayles",20,M,F
"Adams, John","Barclay, Thomas",20,M,M
"Randolph, Beverley","Washington, George",20,M,M
"Smith, Thomas","Washington, George",20,M,M
"Jefferson, Thomas","Smith, William Stephens",20,M,M
"Jefferson, Thomas","Jones, John Paul",20,M,M
"O’Brien, Richard","Jefferson, Thomas",20,M,M
"Rittenhouse, David","Jefferson, Thomas",20,M,M
"Bowdoin, James","Jefferson, Thomas",20,M,M
"Sinclair, Sir John","Jefferson, Thomas",20,M,M
"Jefferson, Thomas","Cosway, Maria",20,M,F
"Watson, Elkanah","Adams, John",20,M,M
"Marchant, Henry","Adams, John",20,M,M
"Harrison, Richard","Hamilton, Alexander",20,M,M
"Hamilton, Alexander","Speaker of the House of Representatives,",20,M,NA
"Jefferson, Thomas","Giles, William Branch",20,M,M
"Hamilton, Alexander","Mifflin, Thomas",20,M,M
"Jefferson, Thomas","Commissioners of the Federal District,",20,M,NA
"Jefferson, Thomas","Jaudenes, Joseph de",20,M,M
"Cabinet,","Washington, George",20,M,M
"Malcom, Samuel B.","Adams, John",20,M,M
"Kosciuszko, Tadeusz","Jefferson, Thomas",20,M,M
"Hamilton, Alexander","Hunewell, Richard",20,M,M
"Hamilton, Alexander","Taylor, Timothy",20,M,M
"Hamilton, Alexander","Bentley, William C.",20,M,M
"Graves, Rufus","Hamilton, Alexander",20,M,M
"Miller, James","Hamilton, Alexander",20,M,M
"Jefferson, Thomas","Tazewell, Littleton W.",20,M,M
"Smith, William Loughton","Madison, James",20,M,M
"Livingston, Edward","Madison, James",20,M,M
"Duane, William","Madison, James",20,M,M
"Crowninshield, Jacob","Jefferson, Thomas",20,M,M
"Madison, James","Speaker of the House of Representatives,",20,M,NA
"Randolph, Thomas Jefferson","Jefferson, Thomas",20,M,M
"Lyman, William","Madison, James",20,M,M
"Jefferson, Thomas","Hollins, John",20,M,M
"Tompkins, Daniel D.","Madison, James",20,M,M
"Jefferson, Thomas","Dougherty, Joseph",20,M,M
"United States Senate,","Jefferson, Thomas",20,M,M
"Jefferson, Thomas","Goodman, Jeremiah A.",20,M,M
"Jones, David","Madison, James",20,M,M
"Adams, John","Lloyd, James",20,M,M
"Madison, James","Randolph, Thomas Jefferson",20,M,M
"Franklin, Benjamin","Logan, James",19,M,M
"Washington, George","Carter, Charles",19,M,M
"Hog, Peter","Washington, George",19,M,M
"Franklin, Benjamin","Hall, David",19,M,M
"Valltravers, Johann Rodolphe","Franklin, Benjamin",19,M,M
"Bradford, William","Madison, James",19,M,M
"Adams, John","Sewall, David",19,M,M
"McKean, Thomas","Adams, John",19,M,M
"Gist, Mordecai","Washington, George",19,M,M
"Washington, George","Trumbull, Jonathan",19,M,M
"Franklin, Benjamin","Grand, Rodolphe-Ferdinand",19,M,M
"Washington, George","Laurens, John",19,M,M
"Nelson, Thomas Jr.","Washington, George",19,M,M
"Washington, George","Pulaski, Casimir",19,M,M
"Stewart, Charles","Washington, George",19,M,M
"Wilkinson, James","Washington, George",19,M,M
"Washington, George","Kalb, Johann",19,M,M
"Shepard, William","Washington, George",19,M,M
"Melmoth, Courtney","Franklin, Benjamin",19,M,M
"Washington, George","Duportail, Louis Le Bèque",19,M,M
"Adams, John Quincy","Smith, Abigail Amelia Adams",19,M,F
"Washington, George","Duane, James",19,M,M
"Washington, George","Wilkinson, James",19,M,M
"Jefferson, Thomas","Thomson, Charles",19,M,M
"Hamilton, Alexander","Schuyler, Elizabeth",19,M,F
"Mathews, John","Washington, George",19,M,M
"Jefferson, Thomas","Pickering, Timothy",19,M,M
"Waterhouse, Benjamin","Adams, John",19,M,M
"Washington, George","Harrison, Benjamin Sr.",19,M,M
"Trumbull, Jonathan Jr.","Washington, George",19,M,M
"Hanson, John","Washington, George",19,M,M
"Innes, Harry","Jefferson, Thomas",19,M,M
"Washington, George","Vaudreuil, Louis-Philippe de Rigaud marquis de",19,M,M
"Adams, Abigail Smith","Norton, Elizabeth Cranch",19,F,F
"Jefferson, Thomas","Commissioners of the Treasury,",19,M,NA
"Asquith, Lister","Jefferson, Thomas",19,M,M
"Washington, George","Deakins, William Jr.",19,M,M
"Jefferson, Thomas","Donald, Alexander",19,M,M
"Turberville, George Lee","Madison, James",19,M,M
"Jones, Walter","Madison, James",19,M,M
"Jefferson, Thomas","Pinckney, Charles",19,M,M
"Reynolds, James","Hamilton, Alexander",19,M,M
"Baker, Jerman","Jefferson, Thomas",19,M,M
"Ternant, Jean Baptiste","Jefferson, Thomas",19,M,M
"Sinclair, John","Washington, George",19,M,M
"Morris, Gouverneur","Short, William",19,M,M
"Mercer, John F.","Jefferson, Thomas",19,M,M
"Knox, Henry","Dandridge, Bartholomew Jr.",19,M,M
"Willcocks, William","Hamilton, Alexander",19,M,M
"Volney, Constantin François Chasseboeuf Comte de","Jefferson, Thomas",19,M,M
"Jefferson, Thomas","Trist, Elizabeth House",19,M,F
"Eppes, Mary Jefferson","Jefferson, Thomas",19,F,M
"Hunewell, Richard","Hamilton, Alexander",19,M,M
"Read, James","Hamilton, Alexander",19,M,M
"Hamilton, Alexander","Buell, John H.",19,M,M
"Brent, Daniel Carroll","Madison, James",19,M,M
"Mitchill, Samuel Latham","Jefferson, Thomas",19,M,M
"Cooke, William","Madison, James",19,M,M
"Jefferson, Thomas","Walker, James",19,M,M
"Jefferson, Thomas","Higginbotham, David",19,M,M
"Dayton, Jonathan","Madison, James",19,M,M
"Riggin, William","Madison, James",19,M,M
"Lenthall, John","Jefferson, Thomas",19,M,M
"Jefferson, Thomas","McMahon, Bernard",19,M,M
"Forbes, John Murray","Madison, James",19,M,M
"Jefferson, Thomas","Delaplaine, Joseph",19,M,M
"Adams, John","Niles, Hezekiah",19,M,M
"Jefferson, Thomas","Mayo, Frederick A.",19,M,M
"Jefferson, Thomas","Coffee, William John",19,M,M
"Franklin, Benjamin","Bowdoin, James",18,M,M
"Bowdoin, James","Franklin, Benjamin",18,M,M
"Washington, George","Carlyle, John",18,M,M
"Washington, George","Lewis, Andrew",18,M,M
"Blair, John","Washington, George",18,M,M
"Wharton, Thomas","Franklin, Benjamin",18,M,M
"Hill, James","Washington, George",18,M,M
"Washington, George","Dandridge, Bartholomew Jr.",18,M,M
"Washington, George","Warren, James",18,M,M
"Quincy, Josiah III","Adams, John",18,M,M
"Bancroft, Edward","Franklin, Benjamin",18,M,M
"Gordon, William","Adams, John",18,M,M
"Washington, George","Bayley, Jacob",18,M,M
"Washington, George","Pennsylvania Council of Safety,",18,M,NA
"Mease, James","Washington, George",18,M,M
"Coder, Henry","Franklin, Benjamin",18,M,M
"Gibbs, Caleb","Washington, George",18,M,M
"La Rouërie, Armand-Charles Tuffin marquis de","Washington, George",18,M,M
"Heer, Bartholomew von","Washington, George",18,M,M
"Deux-Ponts, Marianne Camasse comtesse de Forbach","Franklin, Benjamin",18,F,M
"Izard, Ralph","Adams, John",18,M,M
"Adams, John Quincy","Cranch, William",18,M,M
"Genet, Edmé Jacques","Adams, John",18,M,M
"Gourlade & Moylan,","Franklin, Benjamin",18,M,M
"Wood, James","Jefferson, Thomas",18,M,M
"Washington, George","Carrington, Edward",18,M,M
"Washington, George","Stoddert, Benjamin",18,M,M
"Carrington, Edward","Jefferson, Thomas",18,M,M
"Luzac, Jean","Adams, John",18,M,M
"Jefferson, Thomas","McKean, Thomas",18,M,M
"Washington, George","Pinckney, Charles Cotesworth",18,M,M
"Duer, William","Hamilton, Alexander",18,M,M
"Madison, James","Hamilton, Alexander",18,M,M
"Jefferson, Thomas","Carr, Peter",18,M,M
"Adams, John","Shaw, William Smith",18,M,M
"Grand, Ferdinand","Jefferson, Thomas",18,M,M
"Jefferson, Thomas","Paradise, Lucy Ludwell",18,M,F
"Peter, Thomas","Washington, George",18,M,M
"Virginia Delegates,","Randolph, Edmund",18,M,M
"Moustier, Elénore François Elie Comte de","Jefferson, Thomas",18,F,M
"Peters, Richard","Madison, James",18,M,M
"Pleasants, James","Jefferson, Thomas",18,M,M
"Dayton, Jonathan","Hamilton, Alexander",18,M,M
"Jefferson, John Garland","Jefferson, Thomas",18,M,M
"Nicholson, John","Hamilton, Alexander",18,M,M
"Patton, Robert","Madison, James",18,M,M
"Short, William","Morris, Gouverneur",18,M,M
"Washington, George","Sinclair, John",18,M,M
"Divers, George","Jefferson, Thomas",18,M,M
"Morse, Jedediah","Adams, John",18,M,M
"Adams, Abigail Smith","Cushing, Hannah Phillips",18,F,F
"Cass, Jonathan","Hamilton, Alexander",18,M,M
"Eddins, Samuel","Hamilton, Alexander",18,M,M
"Hamilton, Alexander","Cass, Jonathan",18,M,M
"Adams, John","Morse, Jedediah",18,M,M
"Lyon, Matthew","Jefferson, Thomas",18,M,M
"DuVal, Gabriel","Jefferson, Thomas",18,M,M
"Saabye, Hans Rudolph","Madison, James",18,M,M
"Hũlings, William E.","Madison, James",18,M,M
"Madison, James","Thornton, Edward",18,M,M
"Ellery, Christopher","Jefferson, Thomas",18,M,M
"Blicherolsen, Peder","Madison, James",18,M,M
"Walker, James","Jefferson, Thomas",18,M,M
"Anderson, James","Madison, James",18,M,M
"Jefferson, Thomas","Clinton, DeWitt",18,M,M
"Sullivan, James","Madison, James",18,M,M
"Girardin, Louis Hue","Jefferson, Thomas",18,M,M
"Madison, James","Erskine, David Montague",18,M,M
"Hill, Henry","Madison, James",18,M,M
"Thweatt, Archibald","Jefferson, Thomas",18,M,M
"Jefferson, Thomas","Hening, William Waller",18,M,M
"Rhea, John","Madison, James",18,M,M
"Leitch, James","Jefferson, Thomas",18,M,M
"Rives, William Cabell","Jefferson, Thomas",18,M,M
"Jefferson, Thomas","Minor, Peter",18,M,M
"Robertson, Archibald","Jefferson, Thomas",18,M,M
"Corrêa da Serra, José","Jefferson, Thomas",18,M,M
"Jefferson, Thomas","Corrêa da Serra, José",18,M,M
"Spafford, Horatio Gates","Adams, John",18,M,M
"Madison, James","Barbour, James",18,M,M
"Madison, James","Clay, Henry",18,M,M
"Dearborn, Henry Alexander Scammell","Jefferson, Thomas",18,M,M
"Garrett, Alexander","Madison, James",18,M,M
"Madison, James","Rives, William Cabell",18,M,M
"Rives, William Cabell","Madison, James",18,M,M
"Robinson, John","Washington, George",17,M,M
"Washington, George","Waggener, Thomas",17,M,M
"Washington, George","Washington, Richard",17,M,M
"Washington, George","Craik, James",17,M,M
"Ramsay, William","Washington, George",17,M,M
"Wood, James","Washington, George",17,M,M
"Ross, John","Franklin, Benjamin",17,M,M
"Franklin, Benjamin","Evans, Cadwallader",17,M,M
"Pendleton, Edmund","Washington, George",17,M,M
"Washington, George","Harrison, Robert Hanson",17,M,M
"Simpson, Gilbert","Washington, George",17,M,M
"Greene, Catharine","Franklin, Benjamin",17,F,M
"Thompson, William","Washington, George",17,M,M
"Sargent, Winthrop","Washington, George",17,M,M
"Jefferson, Thomas","Franklin, Benjamin",17,M,M
"Jefferson, Thomas","Lee, Richard Henry",17,M,M
"Shippen, William Jr.","Washington, George",17,M,M
"Webb, Samuel Blachley","Washington, George",17,M,M
"Bingham, William","American Commissioners,",17,M,M
"MacCreery, William","Adams, John",17,M,M
"Washington, George","Greene, Christopher",17,M,M
"Kalb, Johann","Washington, George",17,M,M
"Peabody, Elizabeth Smith Shaw","Cranch, Mary Smith",17,F,F
"Genet, Edmé Jacques","Franklin, Benjamin",17,M,M
"Paine, Thomas","Washington, George",17,M,M
"Beatty, John","Washington, George",17,M,M
"Washington, George","Pettit, Charles",17,M,M
"Franklin, Benjamin","Digges, Thomas",17,M,M
"Washington, George","Butler, Richard",17,M,M
"Franklin, Benjamin","Gérard de Rayneval, Joseph-Mathias",17,M,M
"Troup, Robert","Hamilton, Alexander",17,M,M
"Lewis, Betty Washington","Washington, George",17,F,M
"Jefferson, Thomas","Muhlenberg, John Peter Gabriel",17,M,M
"Peale, Charles Willson","Washington, George",17,M,M
"Jefferson, Thomas","Banister, John",17,M,M
"Adams, John","Neufville, Jean de & Fils (business)",17,M,M
"Washington, George","Trumbull, Jonathan Jr.",17,M,M
"Pray, John","Washington, George",17,M,M
"Storer, Charles","Adams, John",17,M,M
"Jefferson, Thomas","Gerry, Elbridge",17,M,M
"Willink, Van Staphorst and De la Lande & Fynje","Adams, John",17,M,M
"Jefferson, Mary","Jefferson, Thomas",17,F,M
"Washington, George","Newenham, Edward",17,M,M
"Jefferson, Thomas","Barclay, Thomas",17,M,M
"Jefferson, Thomas","Adams, John Quincy",17,M,M
"Otto, Louis Guillaume","Jefferson, Thomas",17,M,M
"Nicolas & Jacob van Staphorst,","Jefferson, Thomas",17,M,M
"Hamilton, Alexander","Church, Angelica Schuyler",17,M,F
"Washington, George","Gilpin, George",17,M,M
"Sayre, Stephen","Jefferson, Thomas",17,M,M
"Jefferson, Thomas","Bancroft, Edward",17,M,M
"Carnes, Burrill","Jefferson, Thomas",17,M,M
"Jefferson, Thomas","Montmorin de Saint-Hérem, Armand Marc Comte de",17,M,M
"Cranch, William","Adams, Abigail Smith",17,M,F
"Jefferson, Thomas","Jefferson, Randolph",17,M,M
"Marshall, John","Washington, George",17,M,M
"Willink, Van Staphorst & Hubbard","Jefferson, Thomas",17,M,M
"Maury, Fontaine","Madison, James",17,M,M
"Van Staphorst & Hubbard,","Jefferson, Thomas",17,M,M
"Washington, George","Ball, Burgess",17,M,M
"Harrison, Richard","Jefferson, Thomas",17,M,M
"Hamilton, Alexander","Walker, Benjamin",17,M,M
"Adams, John","Watson, Elkanah",17,M,M
"Carroll, Daniel","Jefferson, Thomas",17,M,M
"Barton, William","Jefferson, Thomas",17,M,M
"Madison, William","Madison, James",17,M,M
"Jefferson, Thomas","Burr, Aaron",17,M,M
"Jefferson, Thomas","Carr, Dabney",17,M,M
"Taylor, John","Madison, James",17,M,M
"Dandridge, Bartholomew Jr.","Knox, Henry",17,M,M
"Washington, George","Ross, James",17,M,M
"Law, Thomas","Washington, George",17,M,M
"Washington, George","Custis, George Washington Parke",17,M,M
"Jefferson, Thomas","Kosciuszko, Tadeusz",17,M,M
"Hanson, Samuel","Jefferson, Thomas",17,M,M
"Stevens, Ebenezer","Madison, James",17,M,M
"Mountflorence, James C.","Madison, James",17,M,M
"Kilty, William","Jefferson, Thomas",17,M,M
"Brent, Daniel","Madison, James",17,M,M
"Murray, John J.","Madison, James",17,M,M
"Jefferson, Thomas","Lemaire, Etienne",17,M,M
"Ridgway, Jacob","Madison, James",17,M,M
"Jefferson, Thomas","Graham, John",17,M,M
"Baker, John Martin","Jefferson, Thomas",17,M,M
"O’Neill, John","Jefferson, Thomas",17,M,M
"Crawford, William","Madison, James",17,M,M
"Jefferson, Thomas","Pleasants, James",17,M,M
"Adams, John","Adams, Charles Francis",17,M,M
"Kelly, Edmond","Madison, James",17,M,M
"Hilliard, William","Jefferson, Thomas",17,M,M
"Jefferson, Thomas","Hilliard, William",17,M,M
"Madison, James","Brockenbrough, Arthur S.",17,M,M
"Colden, Cadwallader","Franklin, Benjamin",16,M,M
"Stiles, Ezra","Franklin, Benjamin",16,M,M
"Jefferson, Thomas","Harvie, John",16,M,M
"Bridgen, Edward","Franklin, Benjamin",16,M,M
"Price, Richard","Franklin, Benjamin",16,M,M
"Franklin, Benjamin","Shipley, Jonathan",16,M,M
"Mercer, James","Washington, George",16,M,M
"Washington, George","Harrison, Benjamin",16,M,M
"Chase, Samuel","Adams, John",16,M,M
"Adams, John","Ward, Joseph",16,M,M
"Spencer, Joseph","Washington, George",16,M,M
"Washington, George","Varick, Richard",16,M,M
"Nelson, Thomas","Jefferson, Thomas",16,M,M
"Walton, George","Washington, George",16,M,M
"Washington, George","Duer, William",16,M,M
"Washington, George","Patterson, John",16,M,M
"Feutry, Aimé-Ambroise-Joseph","Franklin, Benjamin",16,M,M
"Committee for Foreign Affairs,","Deane, Silas",16,M,M
"Grand, Henri-Maximilien (Henry)","Franklin, Benjamin",16,M,M
