source,target,letters
"Hamilton, Alexander","Swan, Caleb",112
"Jefferson, Thomas","Munroe, Thomas",112
"Brillon de Jouy, Anne-Louise Boivin d’Hardancourt","Franklin, Benjamin",111
"Bondfield, John","Franklin, Benjamin",111
"Jefferson, Thomas","Steuben, Friedrich Wilhelm Ludolf Gerhard Augustin Baron [von]",111
"Jefferson, Thomas","Mazzei, Philip",111
"Jefferson, Thomas","Muter, George",111
"Appleton, Thomas","Jefferson, Thomas",111
"Jefferson, Thomas","Patterson, Robert",111
"Hammond, George","Jefferson, Thomas",110
"Hamilton, Alexander","Short, William",109
"Jefferson, Thomas","United States Congress,",109
"American Commissioners,","Williams, Jonathan Jr.",108
"Lee, Arthur","Williams, Jonathan Jr.",107
"Armstrong, John Jr.","Madison, James",107
"Adams, John","Dumas, C. W. F.",106
"Lear, Tobias","Madison, James",106
"Du Pont de Nemours, Pierre Samuel","Jefferson, Thomas",106
"Harrison, Benjamin","Jefferson, Thomas",105
"Adams, John","Adams, Thomas Boylston",105
"Adams, John","Lovell, James",104
"Delany, Sharp","Hamilton, Alexander",104
"Hamilton, Alexander","Whipple, Joseph",104
"Washington, George","Wolcott, Oliver Jr.",103
"Hamilton, Alexander","Jay, John",102
"Hamilton, Alexander","Hodgdon, Samuel",102
"Dickinson, Philemon","Washington, George",101
"Madison, James","Yrujo, Carlos Martínez de",101
"Cabell, Joseph C.","Madison, James",101
"Hazen, Moses","Washington, George",100
"Adams, John","Rush, Richard",100
"Madison, James","Rush, Richard",100
"Jefferson, Thomas","Lincoln, Levi",99
"Cooke, Nicholas","Washington, George",98
"Duportail, Antoine-Jean-Louis Le Bègue de Presle","Washington, George",98
"Franklin, Benjamin","Mecom, Jane",97
"Lee, Richard Henry","Washington, George",97
"Gordon, William","Washington, George",96
"Digges, Thomas","Franklin, Benjamin",96
"Barclay, Thomas","Jefferson, Thomas",96
"Commissioners for the District of Columbia,","Washington, George",96
"Jefferson, Thomas","Rodney, Caesar Augustus",96
"Adams, George Washington","Adams, Louisa Catherine Johnson",96
"Barbeu-Dubourg, Jacques","Franklin, Benjamin",95
